iter	RMSE
0	0.5902742925
1	0.5525030401
2	0.5193854089
3	0.4876878245
4	0.4596325992
5	0.4307787453
6	0.4062917225
7	0.3866119592
8	0.36477821
9	0.3480485286
10	0.3321602275
11	0.3186356296
12	0.30613005
13	0.294842432
14	0.284431098
15	0.2754778082
16	0.2665273898
17	0.2589027739
18	0.2522314859
19	0.2458843208
20	0.2407960579
21	0.2342354402
22	0.2284076367
23	0.2243506009
24	0.2201677922
25	0.217621583
26	0.2144431615
27	0.2112034453
28	0.2077843629
29	0.2051757295
30	0.202376093
31	0.2000966425
32	0.1980647606
33	0.1968042556
34	0.1945564656
35	0.1925659017
36	0.1909787812
37	0.1898177381
38	0.1882559221
39	0.1870976197
40	0.1855651028
41	0.1842666509
42	0.182579327
43	0.1813564051
44	0.1800907885
45	0.1780762607
46	0.1769979464
47	0.1761965123
48	0.1745538345
49	0.1731730694
50	0.1711591488
51	0.1701036274
52	0.1691216616
53	0.1679606512
54	0.166919737
55	0.1654731287
56	0.1640407375
57	0.1633461312
58	0.1629185816
59	0.1623653666
60	0.1614510882
61	0.1608761614
62	0.1600319492
63	0.1592380848
64	0.1577837777
65	0.1570612699
66	0.156130009
67	0.1552884382
68	0.154273513
69	0.1536528243
70	0.1531569466
71	0.1522190416
72	0.1515448061
73	0.1510335619
74	0.1503256464
75	0.149531151
76	0.1487998555
77	0.148178358
78	0.1476913209
79	0.1469742701
80	0.1465195945
81	0.1458172664
82	0.1454278912
83	0.1448518706
84	0.144107947
85	0.1435703559
86	0.1431855728
87	0.142359799
88	0.1418438991
89	0.1414377939
90	0.1406937574
91	0.1401649087
92	0.1397995709
93	0.1390929612
94	0.1385864995
95	0.1380789452
96	0.1377271704
97	0.1370856903
98	0.1366138352
99	0.135972969
100	0.1355274005
101	0.1352032478
102	0.1348839764
103	0.1340294571
104	0.1336955557
105	0.1324800512
106	0.1320638994
107	0.1317690826
108	0.1313418951
109	0.1304351456
110	0.1293389352
111	0.1290299336
112	0.1285808654
113	0.1278401689
114	0.1275470304
115	0.1272625938
116	0.1268508502
117	0.1257745348
118	0.1254467237
119	0.1250471737
120	0.1247805018
121	0.1240175854
122	0.1234856341
123	0.122904256
124	0.1226450805
125	0.1219619525
126	0.1216315986
127	0.120728241
128	0.1204764413
129	0.1201743293
130	0.1199234322
131	0.1190590668
132	0.1186866746
133	0.1179862639
134	0.1177392602
135	0.1175078036
136	0.1166662027
137	0.1163447427
138	0.1161142237
139	0.1158928704
140	0.1153039004
141	0.1146695356
142	0.1144573853
143	0.1138841695
144	0.1136242038
145	0.113060613
146	0.1121726549
147	0.1119604061
148	0.1117591852
149	0.1114466401
150	0.1112517876
151	0.1104689316
152	0.1102504509
153	0.1100484284
154	0.1098714455
155	0.1095471536
156	0.1093752951
157	0.1088540215
158	0.1078628915
159	0.1072830697
160	0.1070976035
161	0.1066231493
162	0.1059801895
163	0.1058037137
164	0.1055910981
165	0.1054321316
166	0.1052610747
167	0.1048996069
168	0.104390605
169	0.1039107972
170	0.1037537963
171	0.1034156487
172	0.1026197856
173	0.1019953414
174	0.1017198634
175	0.1015553936
176	0.1014007346
177	0.1012013063
178	0.1010293852
179	0.1004729391
180	0.09982541824
181	0.09967340515
182	0.09908015503
183	0.09893017158
184	0.09856148628
185	0.09841472809
186	0.09808639544
187	0.09794138697
188	0.09777628283
189	0.09732786993
190	0.09719225406
191	0.09705429391
192	0.09674573065
193	0.09597115811
194	0.09582817974
195	0.09567998639
196	0.0955475243
197	0.09540605197
198	0.09528078348
199	0.09515278492
200	0.09503921448
201	0.09467067823
202	0.09455568539
203	0.0942308835
204	0.09409837552
205	0.09374219829
206	0.0936108834
207	0.09322473599
208	0.09274193696
209	0.09215722963
210	0.0919027663
211	0.09176277603
212	0.09164884064
213	0.09154172187
214	0.09143896443
215	0.09086484583
216	0.09073935341
217	0.0903081988
218	0.0901726943
219	0.08973074885
220	0.08961928277
221	0.08951484263
222	0.08901968486
223	0.08866549264
224	0.08855535206
225	0.08841796355
226	0.08827093285
227	0.08816268433
228	0.08790647653
229	0.08782009063
230	0.08772518819
231	0.08761577665
232	0.08730587288
233	0.08718430685
234	0.08709760753
235	0.08671162106
236	0.08659771349
237	0.08648439141
238	0.08636630727
239	0.08627364405
240	0.08593134752
241	0.08583254045
242	0.08551179871
243	0.0854158428
244	0.08531959263
245	0.08506284552
246	0.08463152263
247	0.08454243098
248	0.08442419145
249	0.08432954127
250	0.08346604324
251	0.08337499597
252	0.08328137663
253	0.08256168509
254	0.08245186877
255	0.08202550953
256	0.08192143078
257	0.08183491086
258	0.08174295702
259	0.08158258074
260	0.0814868742
261	0.08140867628
262	0.08132603711
263	0.08123299683
264	0.08095515919
265	0.08055117842
266	0.08003996403
267	0.07968565204
268	0.07959491349
269	0.07941326041
270	0.07932842819
271	0.07923610863
272	0.07906911645
273	0.07899033919
274	0.07890338751
275	0.07862011289
276	0.07854100783
277	0.07846165171
278	0.07813625104
279	0.07804259559
280	0.07762174356
281	0.07748682622
282	0.07699019216
283	0.07672872546
284	0.07621971948
285	0.07612192831
286	0.0758028071
287	0.07550471439
288	0.07543753915
289	0.07534401907
290	0.07496117606
291	0.07475132623
292	0.07460034872
293	0.07452348321
294	0.07441448468
295	0.0741632168
296	0.07407893791
297	0.07401384176
298	0.07392918592
299	0.07385544885
