iter	Passed	Remaining
0	6	1812
1	12	1869
2	16	1664
3	19	1457
4	25	1528
5	30	1515
6	35	1494
7	40	1488
8	46	1504
9	52	1516
10	59	1554
11	65	1562
12	70	1555
13	77	1581
14	83	1579
15	90	1598
16	95	1591
17	101	1589
18	106	1580
19	112	1572
20	118	1569
21	123	1565
22	129	1565
23	136	1574
24	143	1579
25	151	1596
26	159	1610
27	166	1614
28	174	1626
29	181	1631
30	189	1646
31	195	1638
32	201	1630
33	207	1624
34	213	1618
35	221	1626
36	227	1615
37	233	1609
38	241	1616
39	248	1612
40	255	1612
41	260	1602
42	267	1598
43	273	1589
44	278	1580
45	285	1574
46	291	1567
47	297	1562
48	304	1558
49	310	1551
50	316	1543
51	322	1537
52	328	1531
53	334	1522
54	339	1512
55	345	1505
56	351	1498
57	356	1487
58	361	1478
59	367	1468
60	372	1459
61	378	1453
62	383	1443
63	389	1436
64	395	1428
65	401	1421
66	405	1411
67	412	1407
68	417	1397
69	422	1389
70	429	1385
71	436	1383
72	442	1375
73	447	1366
74	452	1358
75	459	1354
76	465	1347
77	470	1339
78	476	1334
79	482	1325
80	487	1316
81	492	1309
82	497	1301
83	503	1293
84	508	1287
85	513	1278
86	519	1271
87	525	1265
88	530	1257
89	536	1252
90	542	1246
91	548	1239
92	553	1231
93	559	1225
94	564	1218
95	570	1211
96	576	1205
97	581	1198
98	586	1191
99	591	1183
100	596	1174
101	601	1167
102	606	1160
103	611	1152
104	618	1147
105	623	1140
106	628	1134
107	635	1130
108	641	1124
109	647	1117
110	653	1112
111	659	1106
112	663	1098
113	670	1093
114	675	1086
115	680	1079
116	686	1073
117	691	1067
118	697	1060
119	703	1055
120	708	1048
121	714	1041
122	720	1036
123	724	1028
124	730	1022
125	737	1017
126	742	1011
127	747	1004
128	752	998
129	758	991
130	763	984
131	769	979
132	775	974
133	781	968
134	787	961
135	794	958
136	801	953
137	807	947
138	812	941
139	819	936
140	824	929
141	830	923
142	838	920
143	844	914
144	851	910
145	856	903
146	862	897
147	869	892
148	874	885
149	879	879
150	886	874
151	892	869
152	899	863
153	905	858
154	910	851
155	917	846
156	922	840
157	928	834
158	935	829
159	940	822
160	947	817
161	952	811
162	958	805
163	965	800
164	970	794
165	976	788
166	983	783
167	989	777
168	996	772
169	1002	766
170	1008	760
171	1013	754
172	1018	747
173	1024	742
174	1030	735
175	1034	729
176	1040	723
177	1047	717
178	1052	711
179	1059	706
180	1064	699
181	1070	693
182	1076	688
183	1081	682
184	1087	676
185	1093	670
186	1099	664
187	1104	657
188	1110	651
189	1115	645
190	1120	639
191	1126	633
192	1132	627
193	1140	623
194	1146	617
195	1152	611
196	1158	605
197	1163	599
198	1169	593
199	1175	587
200	1180	581
201	1186	575
202	1191	569
203	1197	563
204	1203	557
205	1209	551
206	1214	545
207	1220	539
208	1225	533
209	1230	527
210	1236	521
211	1241	515
212	1246	509
213	1254	503
214	1259	497
215	1265	492
216	1270	486
217	1276	479
218	1281	474
219	1287	468
220	1292	461
221	1297	455
222	1303	450
223	1309	444
224	1314	438
225	1320	432
226	1325	426
227	1331	420
228	1337	414
229	1342	408
230	1348	402
231	1353	396
232	1358	390
233	1364	384
234	1370	378
235	1375	372
236	1381	367
237	1387	361
238	1392	355
239	1398	349
240	1403	343
241	1408	337
242	1414	331
243	1419	325
244	1424	319
245	1430	314
246	1435	308
247	1441	302
248	1449	296
249	1454	290
250	1459	285
251	1465	279
252	1470	273
253	1477	267
254	1482	261
255	1488	255
256	1494	249
257	1499	244
258	1505	238
259	1512	232
260	1517	226
261	1523	220
262	1529	215
263	1534	209
264	1539	203
265	1545	197
266	1551	191
267	1557	185
268	1562	180
269	1567	174
270	1573	168
271	1578	162
272	1583	156
273	1589	150
274	1595	145
275	1600	139
276	1606	133
277	1611	127
278	1616	121
279	1622	115
280	1627	110
281	1632	104
282	1638	98
283	1643	92
284	1648	86
285	1655	81
286	1660	75
287	1666	69
288	1672	63
289	1677	57
290	1682	52
291	1687	46
292	1693	40
293	1698	34
294	1704	28
295	1709	23
296	1714	17
297	1720	11
298	1725	5
299	1730	0
