iter	Passed	Remaining
0	1127	224287
1	2076	205554
2	3024	198601
3	3981	195087
4	4939	192632
5	5902	190836
6	6828	188270
7	7753	186072
8	8663	183849
9	9702	184339
10	10651	183020
11	11636	182302
12	12578	180930
13	13526	179715
14	14461	178354
15	15394	177041
16	16326	175748
17	17243	174348
18	18192	173306
19	19112	172015
20	20059	170979
21	20962	169605
22	21870	168308
23	22935	168196
24	24054	168384
25	25186	168556
26	26315	168612
27	27467	168725
28	28644	168904
29	29790	168810
30	30897	168443
31	32005	168028
32	33114	167579
33	34242	167186
34	35376	166775
35	36516	166353
36	37661	165912
37	38786	165352
38	39950	164925
39	41115	164461
40	42265	163909
41	43449	163452
42	44614	162894
43	45767	162266
44	46930	161650
45	48100	161032
46	49267	160381
47	50450	159759
48	51624	159087
49	52826	158479
50	54002	157771
51	55183	157061
52	56353	156301
53	57540	155572
54	58719	154805
55	59892	154010
56	61099	153285
57	62308	152548
58	63502	151759
59	64710	150990
60	65933	150241
61	67148	149458
62	68365	148668
63	69626	147956
64	70874	147201
65	72077	146339
66	73294	145495
67	74545	144705
68	75804	143919
69	77100	143186
70	78380	142409
71	79641	141585
72	80911	140763
73	82155	139886
74	83410	139017
75	84730	138244
76	86045	137449
77	87331	136594
78	88685	135835
79	90028	135043
80	91346	134199
81	92718	133424
82	94120	132675
83	95469	131838
84	96838	131016
85	98189	130157
86	99524	129267
87	100874	128386
88	102250	127525
89	103702	126747
90	105114	125905
91	106474	124991
92	107856	124092
93	109232	123177
94	110648	122295
95	112077	121417
96	113500	120520
97	114873	119561
98	116245	118594
99	117615	117615
100	119023	116666
101	120423	115700
102	121827	114730
103	123191	113714
104	124564	112701
105	125954	111695
106	127355	110691
107	128776	109698
108	130145	108653
109	131524	107611
110	132940	106591
111	134251	105483
112	135564	104372
113	136903	103278
114	138244	102180
115	139590	101082
116	140941	99984
117	142367	98933
118	144109	98091
119	145481	96987
120	147024	95991
121	148416	94889
122	149680	93702
123	150978	92535
124	152354	91412
125	153741	90292
126	155043	89119
127	156328	87934
128	157701	86796
129	159080	85658
130	160411	84491
131	161915	83410
132	163357	82292
133	164751	81146
134	166099	79973
135	167492	78820
136	168825	77635
137	170193	76463
138	171711	75355
139	173160	74211
140	175068	73255
141	177146	72355
142	178677	71220
143	180088	70034
144	181556	68866
145	183459	67854
146	185016	66706
147	186594	65560
148	188053	64367
149	189646	63215
150	191062	62000
151	192533	60799
152	194009	59597
153	195348	58350
154	196677	57099
155	198002	55846
156	199329	54593
157	200833	53386
158	202225	52146
159	203591	50897
160	204883	49630
161	206223	48373
162	207671	47140
163	209034	45885
164	210357	44621
165	211607	43341
166	212875	42065
167	214128	40786
168	215309	39494
169	216487	38203
170	217676	36915
171	218863	35628
172	220052	34343
173	221242	33059
174	222456	31779
175	223647	30497
176	224790	29210
177	225934	27924
178	227182	26652
179	228346	25371
180	229777	24120
181	231123	22858
182	232392	21588
183	233697	20321
184	234913	19047
185	236070	17768
186	237215	16490
187	238353	15214
188	239500	13939
189	240638	12665
190	241789	11393
191	242941	10122
192	244233	8858
193	245471	7591
194	246744	6326
195	247979	5060
196	249171	3794
197	250347	2528
198	251525	1263
199	252717	0
