iter	Passed	Remaining
0	9	9590
1	17	8787
2	24	8248
3	32	8082
4	39	7914
5	47	7842
6	54	7736
7	61	7672
8	69	7640
9	76	7552
10	83	7542
11	90	7471
12	97	7415
13	104	7327
14	110	7283
15	117	7243
16	124	7185
17	130	7139
18	137	7117
19	145	7115
20	151	7083
21	158	7048
22	165	7014
23	172	7000
24	179	6993
25	186	6993
26	193	6980
27	201	6983
28	208	6965
29	215	6952
30	222	6949
31	229	6939
32	236	6922
33	244	6935
34	251	6937
35	258	6920
36	266	6927
37	273	6922
38	282	6951
39	289	6949
40	297	6959
41	304	6948
42	311	6939
43	319	6942
44	326	6931
45	333	6922
46	341	6922
47	348	6909
48	355	6906
49	362	6893
50	370	6889
51	378	6894
52	385	6889
53	392	6880
54	400	6873
55	407	6861
56	414	6854
57	421	6852
58	429	6845
59	436	6841
60	443	6831
61	450	6821
62	458	6816
63	465	6804
64	472	6799
65	479	6784
66	486	6776
67	494	6776
68	501	6765
69	508	6756
70	515	6745
71	522	6738
72	530	6731
73	537	6731
74	544	6721
75	553	6724
76	560	6721
77	568	6714
78	575	6709
79	582	6696
80	589	6693
81	597	6689
82	605	6687
83	613	6685
84	620	6679
85	627	6671
86	635	6668
87	642	6661
88	649	6652
89	657	6643
90	665	6642
91	672	6639
92	679	6627
93	687	6629
94	695	6623
95	703	6627
96	710	6618
97	718	6613
98	725	6603
99	733	6599
100	740	6595
101	748	6585
102	755	6579
103	762	6572
104	770	6564
105	777	6560
106	786	6560
107	792	6547
108	800	6543
109	807	6536
110	815	6530
111	822	6522
112	829	6515
113	837	6506
114	844	6497
115	851	6486
116	858	6477
117	865	6467
118	872	6458
119	879	6453
120	886	6442
121	894	6438
122	902	6432
123	908	6420
124	916	6412
125	923	6404
126	930	6399
127	937	6388
128	945	6380
129	951	6369
130	958	6359
131	965	6351
132	972	6341
133	980	6337
134	988	6331
135	995	6325
136	1002	6315
137	1009	6306
138	1017	6300
139	1024	6292
140	1031	6286
141	1039	6280
142	1046	6270
143	1053	6265
144	1061	6260
145	1068	6251
146	1076	6243
147	1083	6237
148	1091	6233
149	1098	6224
150	1105	6216
151	1113	6211
152	1120	6202
153	1127	6194
154	1134	6186
155	1141	6178
156	1149	6170
157	1156	6164
158	1163	6156
159	1171	6148
160	1178	6139
161	1185	6131
162	1192	6124
163	1199	6115
164	1207	6110
165	1214	6101
166	1221	6094
167	1229	6089
168	1237	6084
169	1244	6076
170	1252	6073
171	1261	6071
172	1268	6064
173	1276	6057
174	1283	6050
175	1290	6042
176	1298	6036
177	1305	6029
178	1314	6027
179	1321	6022
180	1329	6014
181	1336	6005
182	1343	5999
183	1351	5995
184	1359	5990
185	1367	5984
186	1374	5976
187	1381	5967
188	1389	5960
189	1396	5951
190	1403	5943
191	1409	5933
192	1417	5925
193	1424	5918
194	1431	5911
195	1439	5905
196	1446	5896
197	1453	5889
198	1460	5880
199	1469	5878
200	1476	5868
201	1484	5863
202	1491	5856
203	1499	5852
204	1506	5843
205	1514	5838
206	1522	5831
207	1529	5823
208	1537	5820
209	1545	5812
210	1552	5804
211	1559	5797
212	1567	5790
213	1573	5780
214	1581	5774
215	1588	5766
216	1597	5762
217	1604	5756
218	1611	5748
219	1619	5740
220	1626	5733
221	1634	5728
222	1641	5718
223	1648	5710
224	1655	5703
225	1663	5696
226	1670	5690
227	1678	5684
228	1686	5677
229	1693	5670
230	1700	5662
231	1708	5654
232	1716	5649
233	1723	5641
234	1731	5635
235	1737	5626
236	1745	5618
237	1752	5610
238	1760	5605
239	1767	5596
240	1775	5592
241	1783	5585
242	1790	5578
243	1798	5572
244	1806	5565
245	1813	5558
246	1820	5550
247	1828	5544
248	1836	5538
249	1843	5531
250	1852	5526
251	1859	5518
252	1866	5510
253	1874	5504
254	1881	5496
255	1889	5490
256	1897	5485
257	1904	5478
258	1911	5469
259	1919	5462
260	1927	5456
261	1934	5447
262	1942	5442
263	1949	5434
264	1956	5427
265	1963	5419
266	1970	5410
267	1977	5402
268	1985	5395
269	1992	5387
270	1999	5379
271	2007	5373
272	2014	5365
273	2022	5357
274	2029	5349
275	2036	5342
276	2043	5334
277	2051	5327
278	2058	5320
279	2065	5312
280	2073	5305
281	2080	5296
282	2088	5290
283	2095	5282
284	2102	5275
285	2110	5267
286	2116	5259
287	2124	5251
288	2131	5243
289	2139	5239
290	2147	5231
291	2155	5225
292	2162	5218
293	2171	5213
294	2178	5205
295	2185	5198
296	2193	5191
297	2201	5185
298	2208	5176
299	2215	5169
300	2222	5161
301	2231	5156
302	2238	5149
303	2246	5142
304	2253	5135
305	2260	5126
306	2267	5117
307	2274	5111
308	2282	5105
309	2290	5097
310	2297	5090
311	2304	5082
312	2312	5075
313	2319	5067
314	2327	5060
315	2334	5053
316	2342	5046
317	2350	5041
318	2358	5033
319	2366	5029
320	2374	5022
321	2382	5016
322	2389	5008
323	2397	5003
324	2405	4995
325	2412	4987
326	2419	4980
327	2427	4973
328	2435	4966
329	2443	4960
330	2451	4953
331	2457	4945
332	2465	4938
333	2472	4931
334	2481	4925
335	2488	4918
336	2496	4912
337	2504	4904
338	2511	4897
339	2518	4889
340	2526	4883
341	2534	4875
342	2541	4868
343	2549	4861
344	2556	4853
345	2563	4845
346	2570	4837
347	2578	4831
348	2586	4823
349	2593	4816
350	2600	4808
351	2607	4800
352	2614	4792
353	2622	4785
354	2629	4778
355	2636	4770
356	2643	4762
357	2651	4754
358	2658	4747
359	2665	4738
360	2672	4730
361	2679	4722
362	2687	4716
363	2696	4710
364	2703	4703
365	2710	4695
366	2718	4688
367	2726	4682
368	2733	4674
369	2741	4668
370	2749	4660
371	2756	4653
372	2763	4645
373	2771	4638
374	2779	4632
375	2786	4624
376	2794	4617
377	2801	4609
378	2808	4601
379	2815	4594
380	2823	4586
381	2830	4579
382	2837	4571
383	2845	4564
384	2852	4556
385	2860	4549
386	2867	4542
387	2875	4534
388	2882	4527
389	2890	4520
390	2897	4512
391	2905	4506
392	2913	4500
393	2921	4492
394	2928	4485
395	2936	4478
396	2943	4471
397	2951	4464
398	2958	4456
399	2966	4449
400	2973	4441
401	2980	4433
402	2988	4426
403	2996	4420
404	3005	4415
405	3012	4407
406	3021	4402
407	3029	4395
408	3037	4389
409	3044	4381
410	3052	4374
411	3059	4366
412	3067	4359
413	3074	4351
414	3082	4345
415	3090	4338
416	3097	4331
417	3106	4325
418	3114	4318
419	3122	4311
420	3130	4304
421	3137	4297
422	3145	4290
423	3153	4284
424	3163	4279
425	3170	4272
426	3179	4266
427	3188	4261
428	3196	4254
429	3204	4247
430	3212	4240
431	3220	4234
432	3228	4227
433	3236	4220
434	3245	4215
435	3253	4208
436	3261	4201
437	3270	4196
438	3278	4189
439	3287	4183
440	3294	4176
441	3303	4170
442	3311	4163
443	3319	4156
444	3327	4150
445	3335	4143
446	3344	4137
447	3352	4130
448	3360	4123
449	3368	4117
450	3377	4111
451	3385	4104
452	3393	4098
453	3401	4090
454	3409	4083
455	3418	4077
456	3426	4071
457	3434	4064
458	3444	4060
459	3453	4054
460	3462	4048
461	3470	4041
462	3479	4035
463	3487	4028
464	3496	4022
465	3504	4015
466	3512	4009
467	3521	4002
468	3529	3995
469	3536	3988
470	3545	3981
471	3553	3975
472	3561	3968
473	3569	3961
474	3577	3953
475	3585	3946
476	3593	3939
477	3600	3932
478	3609	3925
479	3617	3918
480	3626	3912
481	3633	3905
482	3642	3898
483	3649	3891
484	3657	3883
485	3665	3876
486	3673	3869
487	3681	3862
488	3689	3855
489	3697	3848
490	3705	3841
491	3713	3834
492	3722	3828
493	3730	3820
494	3738	3814
495	3745	3806
496	3754	3799
497	3762	3792
498	3770	3785
499	3778	3778
500	3786	3771
501	3794	3764
502	3802	3757
503	3810	3749
504	3818	3743
505	3825	3735
506	3833	3728
507	3841	3720
508	3849	3713
509	3857	3705
510	3865	3699
511	3873	3691
512	3882	3685
513	3889	3677
514	3897	3670
515	3905	3663
516	3913	3655
517	3921	3648
518	3928	3641
519	3936	3634
520	3944	3626
521	3952	3619
522	3960	3612
523	3969	3605
