,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7
132,0.6694215,0.6363636,0.6487603,0.6859504,0.7107438,0.76033056,0.76859504,0.8057851
345,0.37603307,0.40082645,0.41322315,0.45867768,0.49173555,0.56198347,0.6280992,0.6652893
331,0.4338843,0.5206612,0.5041322,0.5247934,0.5785124,0.5785124,0.59917355,0.607438
207,0.28512397,0.21900827,0.18181819,0.3140496,0.38842976,0.41322315,0.43801653,0.45867768
209,0.1983471,0.23553719,0.35123968,0.4090909,0.4214876,0.42975205,0.5,0.5289256
83,0.37190083,0.42975205,0.47107437,0.5165289,0.5371901,0.5661157,0.6198347,0.6322314
334,0.48347107,0.446281,0.46280992,0.4876033,0.49586776,0.46280992,0.5206612,0.58264464
39,0.77272725,0.7644628,0.75206614,0.7644628,0.78512394,0.7933884,0.79752064,0.80991733
315,0.59090906,0.74793386,0.8264463,0.8553719,0.8429752,0.8264463,0.8347107,0.838843
327,0.12396694,0.12809917,0.11570248,0.13636364,0.11570248,0.10743801,0.11570248,0.11570248
105,0.18595041,0.29752067,0.6652893,0.838843,0.8553719,0.8595041,0.8553719,0.8553719
92,0.57024795,0.59917355,0.6487603,0.6652893,0.677686,0.71487606,0.7355372,0.73966944
30,0.1694215,0.2644628,0.21900827,0.28099173,0.4214876,0.5495868,0.6694215,0.70247936
80,0.5,0.4876033,0.5371901,0.57438016,0.59504133,0.59504133,0.6280992,0.6446281
15,0.6694215,0.6818182,0.7066116,0.71487606,0.71900827,0.72727275,0.72727275,0.7355372
317,0.5165289,0.58264464,0.6694215,0.5247934,0.3966942,0.6322314,0.7933884,0.8429752
77,0.20247933,0.25619835,0.32231405,0.45041323,0.57438016,0.6652893,0.71487606,0.76859504
165,0.1983471,0.2231405,0.23553719,0.18595041,0.2603306,0.47933885,0.5165289,0.53305787
242,0.6322314,0.677686,0.6735537,0.7107438,0.73966944,0.75619835,0.77272725,0.78099173
204,0.5,0.5123967,0.5289256,0.5206612,0.5165289,0.5289256,0.5661157,0.59917355
268,0.6652893,0.7768595,0.7892562,0.8016529,0.8181818,0.8016529,0.7933884,0.79752064
394,0.2892562,0.338843,0.41735536,0.5041322,0.553719,0.56198347,0.58264464,0.6280992
33,0.5082645,0.60330576,0.6198347,0.6280992,0.6570248,0.6652893,0.69008267,0.72727275
169,0.24380165,0.24380165,0.24793388,0.24793388,0.2520661,0.25619835,0.25619835,0.2107438
269,0.38429752,0.5082645,0.6198347,0.7231405,0.7644628,0.7768595,0.79752064,0.8140496
320,0.12396694,0.09917355,0.12396694,0.10743801,0.10743801,0.12809917,0.12809917,0.1322314
258,0.6198347,0.6818182,0.6983471,0.7107438,0.7107438,0.71487606,0.71487606,0.73140496
384,0.3264463,0.1983471,0.21487603,0.23966943,0.2603306,0.28099173,0.33471075,0.38429752
362,0.21900827,0.22727273,0.3966942,0.4876033,0.5041322,0.5123967,0.5371901,0.59917355
347,0.3305785,0.35123968,0.3677686,0.37603307,0.42975205,0.46694216,0.5495868,0.61157024
305,0.4214876,0.4752066,0.5371901,0.5495868,0.54545456,0.55785125,0.57024795,0.59504133
281,0.21900827,0.17768595,0.18181819,0.19421488,0.25619835,0.38429752,0.5,0.57024795
98,0.09917355,0.0661157,0.32231405,0.5165289,0.5785124,0.607438,0.6280992,0.6446281
167,0.23553719,0.35123968,0.47933885,0.54545456,0.5661157,0.5661157,0.59504133,0.607438
131,0.61570245,0.6528926,0.6404959,0.6859504,0.73966944,0.7644628,0.7933884,0.8057851
388,0.30578512,0.3140496,0.21900827,0.2603306,0.30991736,0.35950413,0.38016528,0.45041323
247,0.19008264,0.19421488,0.11157025,0.44214877,0.57438016,0.6528926,0.7107438,0.7231405
280,0.18595041,0.12809917,0.11570248,0.1322314,0.18595041,0.26859504,0.4338843,0.5413223
107,0.5289256,0.79752064,0.8264463,0.822314,0.822314,0.8181818,0.8057851,0.8181818
166,0.15289256,0.1446281,0.19421488,0.23553719,0.21900827,0.20661157,0.446281,0.5123967
392,0.45454547,0.49586776,0.54545456,0.59504133,0.6198347,0.59917355,0.59917355,0.6322314
381,0.3553719,0.39256197,0.446281,0.46280992,0.4752066,0.49173555,0.5,0.5041322
259,0.75206614,0.7768595,0.7768595,0.78512394,0.79752064,0.8016529,0.8057851,0.80991733
54,0.3305785,0.4090909,0.5495868,0.59917355,0.6198347,0.607438,0.62396693,0.6652893
53,0.6363636,0.677686,0.6694215,0.661157,0.6528926,0.6942149,0.72727275,0.76033056
90,0.3264463,0.48347107,0.5247934,0.59917355,0.6652893,0.70247936,0.70247936,0.7107438
81,0.5289256,0.5413223,0.5785124,0.61157024,0.6363636,0.6363636,0.6528926,0.677686
86,0.34710744,0.34710744,0.16115703,0.041322313,0.24380165,0.45867768,0.5123967,0.5661157
10,0.5413223,0.58677685,0.6404959,0.661157,0.6859504,0.6859504,0.69008267,0.6983471
289,0.17768595,0.14049587,0.11570248,0.13636364,0.17768595,0.3181818,0.47107437,0.54545456
294,0.45454547,0.3677686,0.23966943,0.23553719,0.36363637,0.5165289,0.5661157,0.58677685
182,0.2520661,0.2644628,0.3553719,0.338843,0.61157024,0.79752064,0.838843,0.8553719
109,0.25619835,0.2644628,0.2603306,0.46694216,0.72727275,0.8140496,0.822314,0.8181818
195,0.20247933,0.2107438,0.2768595,0.38842976,0.5289256,0.607438,0.61157024,0.5495868
377,0.28512397,0.37603307,0.45454547,0.5247934,0.5785124,0.6694215,0.7107438,0.72727275
0,0.30991736,0.3677686,0.41735536,0.44214877,0.5289256,0.607438,0.6570248,0.677686
91,0.29338843,0.4090909,0.53305787,0.57438016,0.607438,0.6487603,0.6942149,0.7066116
256,0.6280992,0.6570248,0.6487603,0.6570248,0.6818182,0.677686,0.72727275,0.74380165
